# LET[MeV*cm2/mg]   sigma_DRAM_28nm[cm2/bit]   sigma_SRAM_28nm[cm2/bit]   sigma_NAND_TLC[cm2/bit]
1.000000e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.035142e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.071519e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.109175e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.148154e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.188502e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.230269e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.273503e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.318257e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.364583e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.412538e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.462177e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.513561e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.566751e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.621810e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.678804e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.737801e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.798871e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.862087e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.927525e-01  0.000000e+00  0.000000e+00  0.000000e+00
1.995262e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.065380e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.137962e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.213095e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.290868e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.371374e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.454709e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.540973e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.630268e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.722701e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.818383e-01  0.000000e+00  0.000000e+00  0.000000e+00
