# t[days]  RBER_PE_0  RBER_PE_3000  RBER_PE_10000
1.000000e+00  1.001369e-06  1.005556e-05  1.017837e-04
1.041865e+00  1.001426e-06  1.005788e-05  1.018586e-04
1.085483e+00  1.001486e-06  1.006030e-05  1.019367e-04
1.130927e+00  1.001548e-06  1.006283e-05  1.020181e-04
1.178273e+00  1.001613e-06  1.006546e-05  1.021029e-04
1.227601e+00  1.001680e-06  1.006820e-05  1.021913e-04
1.278995e+00  1.001751e-06  1.007106e-05  1.022834e-04
1.332540e+00  1.001824e-06  1.007403e-05  1.023795e-04
1.388327e+00  1.001900e-06  1.007713e-05  1.024795e-04
1.446449e+00  1.001979e-06  1.008036e-05  1.025838e-04
1.507005e+00  1.002062e-06  1.008372e-05  1.026925e-04
1.570096e+00  1.002149e-06  1.008723e-05  1.028059e-04
1.635828e+00  1.002238e-06  1.009088e-05  1.029240e-04
1.704312e+00  1.002332e-06  1.009468e-05  1.030471e-04
1.775663e+00  1.002429e-06  1.009865e-05  1.031754e-04
1.850001e+00  1.002531e-06  1.010278e-05  1.033091e-04
1.927451e+00  1.002637e-06  1.010708e-05  1.034485e-04
2.008144e+00  1.002747e-06  1.011156e-05  1.035939e-04
2.092215e+00  1.002862e-06  1.011623e-05  1.037454e-04
2.179806e+00  1.002982e-06  1.012110e-05  1.039033e-04
2.271064e+00  1.003106e-06  1.012617e-05  1.040679e-04
2.366142e+00  1.003236e-06  1.013145e-05  1.042395e-04
2.465200e+00  1.003371e-06  1.013696e-05  1.044185e-04
2.568406e+00  1.003512e-06  1.014269e-05  1.046050e-04
2.675932e+00  1.003659e-06  1.014866e-05  1.047995e-04
2.787960e+00  1.003812e-06  1.015489e-05  1.050022e-04
2.904679e+00  1.003971e-06  1.016137e-05  1.052137e-04
3.026283e+00  1.004137e-06  1.016813e-05  1.054341e-04
3.152978e+00  1.004310e-06  1.017517e-05  1.056639e-04
3.284978e+00  1.004490e-06  1.018250e-05  1.059036e-04
3.422504e+00  1.004677e-06  1.019014e-05  1.061535e-04
3.565787e+00  1.004873e-06  1.019810e-05  1.064141e-04
3.715069e+00  1.005076e-06  1.020639e-05  1.066859e-04
3.870600e+00  1.005288e-06  1.021503e-05  1.069693e-04
4.032643e+00  1.005509e-06  1.022404e-05  1.072649e-04
4.201470e+00  1.005739e-06  1.023341e-05  1.075732e-04
4.377365e+00  1.005979e-06  1.024319e-05  1.078948e-04
4.560623e+00  1.006228e-06  1.025337e-05  1.082302e-04
4.751554e+00  1.006488e-06  1.026398e-05  1.085801e-04
4.950478e+00  1.006759e-06  1.027503e-05  1.089450e-04
5.157730e+00  1.007041e-06  1.028654e-05  1.093258e-04
5.373658e+00  1.007334e-06  1.029854e-05  1.097230e-04
5.598627e+00  1.007640e-06  1.031103e-05  1.101374e-04
5.833013e+00  1.007959e-06  1.032406e-05  1.105697e-04
6.077213e+00  1.008291e-06  1.033762e-05  1.110209e-04
6.331635e+00  1.008636e-06  1.035176e-05  1.114916e-04
6.596709e+00  1.008996e-06  1.036648e-05  1.119829e-04
6.872881e+00  1.009371e-06  1.038183e-05  1.124956e-04
7.160614e+00  1.009761e-06  1.039781e-05  1.130307e-04
7.460394e+00  1.010168e-06  1.041447e-05  1.135892e-04
7.772723e+00  1.010591e-06  1.043182e-05  1.141722e-04
8.098129e+00  1.011032e-06  1.044990e-05  1.147808e-04
8.437157e+00  1.011492e-06  1.046873e-05  1.154161e-04
8.790379e+00  1.011970e-06  1.048835e-05  1.160795e-04
9.158389e+00  1.012468e-06  1.050880e-05  1.167721e-04
9.541805e+00  1.012987e-06  1.053010e-05  1.174954e-04
9.941273e+00  1.013527e-06  1.055229e-05  1.182507e-04
1.035746e+01  1.014089e-06  1.057541e-05  1.190396e-04
1.079108e+01  1.014675e-06  1.059950e-05  1.198636e-04
1.124285e+01  1.015284e-06  1.062460e-05  1.207244e-04
1.171353e+01  1.015919e-06  1.065075e-05  1.216236e-04
1.220392e+01  1.016580e-06  1.067800e-05  1.225632e-04
1.271484e+01  1.017268e-06  1.070638e-05  1.235450e-04
1.324714e+01  1.017985e-06  1.073595e-05  1.245710e-04
1.380174e+01  1.018731e-06  1.076676e-05  1.256433e-04
1.437955e+01  1.019508e-06  1.079886e-05  1.267642e-04
1.498155e+01  1.020316e-06  1.083231e-05  1.279360e-04
1.560875e+01  1.021158e-06  1.086715e-05  1.291611e-04
