# LET[MeV*cm2/mg]  Phi[part/cm2/s]  P_recovery
5.000000e-01  1.000000e+03  1.000000
5.000000e-01  1.487352e+03  1.000000
5.000000e-01  2.212216e+03  1.000000
5.000000e-01  3.290345e+03  1.000000
5.000000e-01  4.893901e+03  1.000000
5.000000e-01  7.278954e+03  1.000000
5.000000e-01  1.082637e+04  1.000000
5.000000e-01  1.610262e+04  1.000000
5.000000e-01  2.395027e+04  1.000000
5.000000e-01  3.562248e+04  1.000000
5.000000e-01  5.298317e+04  1.000000
5.000000e-01  7.880463e+04  1.000000
5.000000e-01  1.172102e+05  1.000000
5.000000e-01  1.743329e+05  1.000000
5.000000e-01  2.592944e+05  1.000000
5.000000e-01  3.856620e+05  1.000000
5.000000e-01  5.736153e+05  1.000000
5.000000e-01  8.531679e+05  1.000000
5.000000e-01  1.268961e+06  1.000000
5.000000e-01  1.887392e+06  1.000000
5.000000e-01  2.807216e+06  1.000000
5.000000e-01  4.175319e+06  1.000000
5.000000e-01  6.210169e+06  1.000000
5.000000e-01  9.236709e+06  1.000000
5.000000e-01  1.373824e+07  1.000000
5.000000e-01  2.043360e+07  1.000000
5.000000e-01  3.039195e+07  1.000000
5.000000e-01  4.520354e+07  1.000000
5.000000e-01  6.723358e+07  1.000000
5.000000e-01  1.000000e+08  1.000000

6.002275e-01  1.000000e+03  1.000000
6.002275e-01  1.487352e+03  1.000000
6.002275e-01  2.212216e+03  1.000000
6.002275e-01  3.290345e+03  1.000000
6.002275e-01  4.893901e+03  1.000000
6.002275e-01  7.278954e+03  1.000000
6.002275e-01  1.082637e+04  1.000000
6.002275e-01  1.610262e+04  1.000000
6.002275e-01  2.395027e+04  1.000000
6.002275e-01  3.562248e+04  1.000000
6.002275e-01  5.298317e+04  1.000000
6.002275e-01  7.880463e+04  1.000000
6.002275e-01  1.172102e+05  1.000000
6.002275e-01  1.743329e+05  1.000000
6.002275e-01  2.592944e+05  1.000000
6.002275e-01  3.856620e+05  1.000000
6.002275e-01  5.736153e+05  1.000000
6.002275e-01  8.531679e+05  1.000000
6.002275e-01  1.268961e+06  1.000000
6.002275e-01  1.887392e+06  1.000000
6.002275e-01  2.807216e+06  1.000000
6.002275e-01  4.175319e+06  1.000000
6.002275e-01  6.210169e+06  1.000000
6.002275e-01  9.236709e+06  1.000000
6.002275e-01  1.373824e+07  1.000000
6.002275e-01  2.043360e+07  1.000000
6.002275e-01  3.039195e+07  1.000000
6.002275e-01  4.520354e+07  1.000000
6.002275e-01  6.723358e+07  1.000000
6.002275e-01  1.000000e+08  1.000000

7.205460e-01  1.000000e+03  1.000000
7.205460e-01  1.487352e+03  1.000000
7.205460e-01  2.212216e+03  1.000000
7.205460e-01  3.290345e+03  1.000000
7.205460e-01  4.893901e+03  1.000000
7.205460e-01  7.278954e+03  1.000000
7.205460e-01  1.082637e+04  1.000000
7.205460e-01  1.610262e+04  1.000000
7.205460e-01  2.395027e+04  1.000000
7.205460e-01  3.562248e+04  1.000000
7.205460e-01  5.298317e+04  1.000000
7.205460e-01  7.880463e+04  1.000000
7.205460e-01  1.172102e+05  1.000000
7.205460e-01  1.743329e+05  1.000000
7.205460e-01  2.592944e+05  1.000000
7.205460e-01  3.856620e+05  1.000000
7.205460e-01  5.736153e+05  1.000000
7.205460e-01  8.531679e+05  1.000000
7.205460e-01  1.268961e+06  1.000000
7.205460e-01  1.887392e+06  1.000000
7.205460e-01  2.807216e+06  1.000000
7.205460e-01  4.175319e+06  1.000000
7.205460e-01  6.210169e+06  1.000000
7.205460e-01  9.236709e+06  1.000000
7.205460e-01  1.373824e+07  1.000000
7.205460e-01  2.043360e+07  1.000000
7.205460e-01  3.039195e+07  1.000000
7.205460e-01  4.520354e+07  1.000000
7.205460e-01  6.723358e+07  1.000000
7.205460e-01  1.000000e+08  1.000000

8.649830e-01  1.000000e+03  1.000000
8.649830e-01  1.487352e+03  1.000000
8.649830e-01  2.212216e+03  1.000000
8.649830e-01  3.290345e+03  1.000000
8.649830e-01  4.893901e+03  1.000000
8.649830e-01  7.278954e+03  1.000000
8.649830e-01  1.082637e+04  1.000000
8.649830e-01  1.610262e+04  1.000000
8.649830e-01  2.395027e+04  1.000000
8.649830e-01  3.562248e+04  1.000000
8.649830e-01  5.298317e+04  1.000000
8.649830e-01  7.880463e+04  1.000000
8.649830e-01  1.172102e+05  1.000000
8.649830e-01  1.743329e+05  1.000000
8.649830e-01  2.592944e+05  1.000000
8.649830e-01  3.856620e+05  1.000000
8.649830e-01  5.736153e+05  1.000000
8.649830e-01  8.531679e+05  1.000000
8.649830e-01  1.268961e+06  1.000000
8.649830e-01  1.887392e+06  1.000000
8.649830e-01  2.807216e+06  1.000000
8.649830e-01  4.175319e+06  1.000000
8.649830e-01  6.210169e+06  1.000000
8.649830e-01  9.236709e+06  1.000000
8.649830e-01  1.373824e+07  1.000000
8.649830e-01  2.043360e+07  1.000000
8.649830e-01  3.039195e+07  1.000000
8.649830e-01  4.520354e+07  1.000000
8.649830e-01  6.723358e+07  1.000000
8.649830e-01  1.000000e+08  1.000000

1.038373e+00  1.000000e+03  1.000000
1.038373e+00  1.487352e+03  1.000000
1.038373e+00  2.212216e+03  1.000000
1.038373e+00  3.290345e+03  1.000000
1.038373e+00  4.893901e+03  1.000000
1.038373e+00  7.278954e+03  1.000000
1.038373e+00  1.082637e+04  1.000000
1.038373e+00  1.610262e+04  1.000000
1.038373e+00  2.395027e+04  1.000000
1.038373e+00  3.562248e+04  1.000000
1.038373e+00  5.298317e+04  1.000000
1.038373e+00  7.880463e+04  1.000000
1.038373e+00  1.172102e+05  1.000000
1.038373e+00  1.743329e+05  1.000000
1.038373e+00  2.592944e+05  1.000000
1.038373e+00  3.856620e+05  1.000000
1.038373e+00  5.736153e+05  1.000000
1.038373e+00  8.531679e+05  1.000000
1.038373e+00  1.268961e+06  1.000000
1.038373e+00  1.887392e+06  1.000000
1.038373e+00  2.807216e+06  1.000000
1.038373e+00  4.175319e+06  1.000000
1.038373e+00  6.210169e+06  1.000000
1.038373e+00  9.236709e+06  1.000000
1.038373e+00  1.373824e+07  1.000000
1.038373e+00  2.043360e+07  1.000000
1.038373e+00  3.039195e+07  1.000000
1.038373e+00  4.520354e+07  1.000000
1.038373e+00  6.723358e+07  1.000000
1.038373e+00  1.000000e+08  1.000000

1.246520e+00  1.000000e+03  1.000000
1.246520e+00  1.487352e+03  1.000000
1.246520e+00  2.212216e+03  1.000000
1.246520e+00  3.290345e+03  1.000000
1.246520e+00  4.893901e+03  1.000000
1.246520e+00  7.278954e+03  1.000000
1.246520e+00  1.082637e+04  1.000000
1.246520e+00  1.610262e+04  1.000000
1.246520e+00  2.395027e+04  1.000000
1.246520e+00  3.562248e+04  1.000000
1.246520e+00  5.298317e+04  1.000000
1.246520e+00  7.880463e+04  1.000000
1.246520e+00  1.172102e+05  1.000000
1.246520e+00  1.743329e+05  1.000000
1.246520e+00  2.592944e+05  1.000000
1.246520e+00  3.856620e+05  1.000000
1.246520e+00  5.736153e+05  1.000000
1.246520e+00  8.531679e+05  1.000000
1.246520e+00  1.268961e+06  1.000000
1.246520e+00  1.887392e+06  1.000000
1.246520e+00  2.807216e+06  1.000000
1.246520e+00  4.175319e+06  1.000000
1.246520e+00  6.210169e+06  1.000000
1.246520e+00  9.236709e+06  1.000000
1.246520e+00  1.373824e+07  1.000000
1.246520e+00  2.043360e+07  1.000000
1.246520e+00  3.039195e+07  1.000000
1.246520e+00  4.520354e+07  1.000000
1.246520e+00  6.723358e+07  1.000000
1.246520e+00  1.000000e+08  1.000000

1.496391e+00  1.000000e+03  1.000000
1.496391e+00  1.487352e+03  1.000000
1.496391e+00  2.212216e+03  1.000000
1.496391e+00  3.290345e+03  1.000000
1.496391e+00  4.893901e+03  1.000000
1.496391e+00  7.278954e+03  1.000000
1.496391e+00  1.082637e+04  1.000000
1.496391e+00  1.610262e+04  1.000000
1.496391e+00  2.395027e+04  1.000000
1.496391e+00  3.562248e+04  1.000000
1.496391e+00  5.298317e+04  1.000000
1.496391e+00  7.880463e+04  1.000000
1.496391e+00  1.172102e+05  1.000000
1.496391e+00  1.743329e+05  1.000000
1.496391e+00  2.592944e+05  1.000000
1.496391e+00  3.856620e+05  1.000000
1.496391e+00  5.736153e+05  1.000000
1.496391e+00  8.531679e+05  1.000000
1.496391e+00  1.268961e+06  1.000000
1.496391e+00  1.887392e+06  1.000000
1.496391e+00  2.807216e+06  1.000000
1.496391e+00  4.175319e+06  1.000000
1.496391e+00  6.210169e+06  1.000000
1.496391e+00  9.236709e+06  1.000000
1.496391e+00  1.373824e+07  1.000000
1.496391e+00  2.043360e+07  1.000000
1.496391e+00  3.039195e+07  1.000000
1.496391e+00  4.520354e+07  1.000000
1.496391e+00  6.723358e+07  1.000000
1.496391e+00  1.000000e+08  1.000000

1.796350e+00  1.000000e+03  1.000000
1.796350e+00  1.487352e+03  1.000000
1.796350e+00  2.212216e+03  1.000000
1.796350e+00  3.290345e+03  1.000000
1.796350e+00  4.893901e+03  1.000000
1.796350e+00  7.278954e+03  0.999998
1.796350e+00  1.082637e+04  0.999956
1.796350e+00  1.610262e+04  0.999209
1.796350e+00  2.395027e+04  0.989694
1.796350e+00  3.562248e+04  0.914862
1.796350e+00  5.298317e+04  0.620635
1.796350e+00  7.880463e+04  0.183075
1.796350e+00  1.172102e+05  0.010905
1.796350e+00  1.743329e+05  0.000048
1.796350e+00  2.592944e+05  0.000000
1.796350e+00  3.856620e+05  0.000000
1.796350e+00  5.736153e+05  0.000000
1.796350e+00  8.531679e+05  0.000000
1.796350e+00  1.268961e+06  0.000000
1.796350e+00  1.887392e+06  0.000000
1.796350e+00  2.807216e+06  0.000000
1.796350e+00  4.175319e+06  0.000000
1.796350e+00  6.210169e+06  0.000000
1.796350e+00  9.236709e+06  0.000000
1.796350e+00  1.373824e+07  0.000000
1.796350e+00  2.043360e+07  0.000000
1.796350e+00  3.039195e+07  0.000000
1.796350e+00  4.520354e+07  0.000000
1.796350e+00  6.723358e+07  0.000000
1.796350e+00  1.000000e+08  0.000000

2.156438e+00  1.000000e+03  1.000000
2.156438e+00  1.487352e+03  1.000000
2.156438e+00  2.212216e+03  0.999998
2.156438e+00  3.290345e+03  0.999963
2.156438e+00  4.893901e+03  0.999317
2.156438e+00  7.278954e+03  0.990914
2.156438e+00  1.082637e+04  0.922804
2.156438e+00  1.610262e+04  0.643197
2.156438e+00  2.395027e+04  0.201772
2.156438e+00  3.562248e+04  0.013386
2.156438e+00  5.298317e+04  0.000069
2.156438e+00  7.880463e+04  0.000000
2.156438e+00  1.172102e+05  0.000000
2.156438e+00  1.743329e+05  0.000000
2.156438e+00  2.592944e+05  0.000000
2.156438e+00  3.856620e+05  0.000000
2.156438e+00  5.736153e+05  0.000000
2.156438e+00  8.531679e+05  0.000000
2.156438e+00  1.268961e+06  0.000000
2.156438e+00  1.887392e+06  0.000000
2.156438e+00  2.807216e+06  0.000000
2.156438e+00  4.175319e+06  0.000000
2.156438e+00  6.210169e+06  0.000000
2.156438e+00  9.236709e+06  0.000000
2.156438e+00  1.373824e+07  0.000000
2.156438e+00  2.043360e+07  0.000000
2.156438e+00  3.039195e+07  0.000000
2.156438e+00  4.520354e+07  0.000000
2.156438e+00  6.723358e+07  0.000000
2.156438e+00  1.000000e+08  0.000000

2.588706e+00  1.000000e+03  0.999999
2.588706e+00  1.487352e+03  0.999978
2.588706e+00  2.212216e+03  0.999589
